orf_name,miller,presnyak,geisberg,half_life
YAL001C,10.35,10.8,25.0,15.3833333333
YAL002W,5.11,,45.0,25.055
YAL003W,37.46,43.4,,40.43
YAL005C,127.65,,72.0,99.825
YAL007C,41.44,10.1,28.0,26.5133333333
YAL008W,23.48,27.5,40.0,30.3266666667
YAL009W,17.99,4.4,30.0,17.4633333333
YAL010C,6.35,5.8,26.0,12.7166666667
YAL011W,7.24,4.8,29.0,13.68
YAL012W,35.97,55.9,24.0,38.6233333333
YAL013W,5.31,4.3,29.0,12.87
YAL014C,9.93,8.9,,9.415
YAL015C,15.5,7.1,41.0,21.2
YAL016W,19.88,28.3,44.0,30.7266666667
YAL017W,11.08,,69.0,40.04
YAL018C,,,30.0,30.0
YAL019W,13.71,10.4,10.0,11.37
YAL020C,11.76,8.0,,9.88
YAL021C,,,32.0,32.0
YAL022C,17.22,5.8,28.0,17.0066666667
YAL023C,33.61,12.7,16.0,20.77
YAL024C,6.91,4.8,25.0,12.2366666667
YAL025C,6.79,2.5,8.0,5.76333333333
YAL026C,14.61,6.3,,10.455
YAL027W,5.75,4.8,28.0,12.85
YAL028W,,,69.0,69.0
YAL029C,13.57,22.0,30.0,21.8566666667
YAL030W,33.42,28.5,54.0,38.64
YAL031C,3.86,6.9,48.0,19.5866666667
YAL032C,7.1,10.9,36.0,18.0
YAL033W,15.37,4.2,17.0,12.19
YAL034C,4.22,7.1,89.0,33.44
YAL034W-A,4.82,3.4,16.0,8.07333333333
YAL035W,27.31,21.4,22.0,23.57
YAL036C,20.12,9.1,11.0,13.4066666667
YAL037W,,,31.0,31.0
YAL038W,66.95,,17.0,41.975
YAL039C,5.48,5.3,41.0,17.26
YAL040C,,3.4,51.0,27.2
YAL041W,7.33,,41.0,24.165
YAL042W,41.44,15.5,29.0,28.6466666667
YAL043C,39.22,5.3,43.0,29.1733333333
YAL044C,103.33,28.0,47.0,59.4433333333
YAL044W-A,37.42,,43.0,40.21
YAL046C,23.04,9.9,33.0,21.98
YAL047C,,3.6,18.0,10.8
YAL048C,,4.8,,4.8
YAL049C,18.33,25.2,41.0,28.1766666667
YAL051W,5.51,6.0,33.0,14.8366666667
YAL053W,10.58,5.3,37.0,17.6266666667
YAL054C,15.81,,66.0,40.905
YAL055W,9.66,6.8,31.0,15.82
YAL056W,9.78,4.9,48.0,20.8933333333
YAL058W,23.46,9.9,31.0,21.4533333333
YAL059W,12.43,2.1,6.0,6.84333333333
YAL060W,16.17,,44.0,30.085
YAL061W,,,30.0,30.0
YAL062W,,,45.0,45.0
YAL063C,6.05,11.0,59.0,25.35
YAL063C-A,,,23.0,23.0
YAL067C,,,15.0,15.0
YAR002C-A,73.09,17.4,31.0,40.4966666667
YAR002W,10.01,5.4,31.0,15.47
YAR003W,9.6,4.9,20.0,11.5
YAR007C,14.85,10.2,37.0,20.6833333333
YAR008W,6.66,3.1,27.0,12.2533333333
YAR014C,8.89,4.2,51.0,21.3633333333
YAR015W,27.2,5.2,42.0,24.8
YAR018C,10.29,4.4,32.0,15.5633333333
YAR019C,7.03,15.3,41.0,21.11
YAR020C,,,49.0,49.0
YAR023C,,,30.0,30.0
YAR027W,9.96,29.8,52.0,30.5866666667
YAR028W,9.81,,34.0,21.905
YAR029W,,,49.0,49.0
YAR031W,177.59,9.5,30.0,72.3633333333
YAR033W,12.92,4.5,23.0,13.4733333333
YAR035C-A,,,38.0,38.0
YAR035W,,,91.0,91.0
YAR042W,8.35,,28.0,18.175
YAR050W,,,45.0,45.0
YAR068W,4.46,,,4.46
YAR071W,5.08,,32.0,18.54
YBL001C,52.27,37.0,44.0,44.4233333333
YBL002W,12.25,3.7,17.0,10.9833333333
YBL003C,17.35,4.3,27.0,16.2166666667
YBL004W,12.73,10.6,5.0,9.44333333333
YBL005W,8.07,3.7,37.0,16.2566666667
YBL006C,7.77,4.5,8.0,6.75666666667
YBL007C,33.71,32.3,36.0,34.0033333333
YBL008W,8.52,4.8,21.0,11.44
YBL009W,,3.7,,3.7
YBL010C,4.73,,33.0,18.865
YBL011W,9.15,4.6,22.0,11.9166666667
YBL014C,6.54,2.3,16.0,8.28
YBL015W,11.37,9.7,68.0,29.69
YBL016W,6.96,4.1,51.0,20.6866666667
YBL017C,16.54,17.6,35.0,23.0466666667
YBL018C,11.37,5.5,21.0,12.6233333333
YBL019W,,9.1,41.0,25.05
YBL020W,14.25,5.2,24.0,14.4833333333
YBL021C,2.03,5.5,27.0,11.51
YBL022C,17.63,54.2,39.0,36.9433333333
YBL023C,9.4,6.5,30.0,15.3
YBL024W,18.75,4.7,15.0,12.8166666667
YBL025W,,3.7,,3.7
YBL026W,13.85,4.4,25.0,14.4166666667
YBL027W,67.14,13.4,15.0,31.8466666667
YBL028C,,2.0,8.0,5.0
YBL029C-A,,7.2,50.0,28.6
YBL029W,,,67.0,67.0
YBL030C,36.18,10.5,51.0,32.56
YBL031W,5.32,2.7,16.0,8.00666666667
YBL032W,31.31,3.3,10.0,14.87
YBL033C,7.91,5.4,35.0,16.1033333333
YBL034C,8.63,,,8.63
YBL035C,7.71,7.0,33.0,15.9033333333
YBL036C,17.05,14.6,34.0,21.8833333333
YBL037W,8.99,,28.0,18.495
YBL038W,6.64,6.7,44.0,19.1133333333
YBL039C,27.14,9.3,5.0,13.8133333333
YBL039W-B,,,73.0,73.0
YBL040C,19.91,10.6,44.0,24.8366666667
YBL041W,13.21,13.4,47.0,24.5366666667
YBL042C,7.05,1.3,9.0,5.78333333333
YBL043W,,,15.0,15.0
YBL044W,,,13.0,13.0
YBL045C,21.15,26.2,66.0,37.7833333333
YBL046W,6.42,,36.0,21.21
YBL047C,28.75,,40.0,34.375
YBL050W,21.12,8.3,50.0,26.4733333333
YBL051C,11.32,,40.0,25.66
YBL052C,8.91,2.7,28.0,13.2033333333
YBL054W,7.0,,6.0,6.5
YBL055C,9.36,,27.0,18.18
YBL056W,18.17,8.6,33.0,19.9233333333
