orf_name,name,chr,strand,TSS,promoter_start,promoter_stop
YAL067C,SEO1,1,-,9192,9192,9392
YAL063C,FLO9,1,-,28213,28213,28413
YAL062W,GDH3,1,+,31189,30989,31189
YAL061W,BDH2,1,+,33360,33160,33360
YAL060W,BDH1,1,+,35108,34908,35108
YAL059W,ECM1,1,+,36560,36360,36560
YAL058W,CNE1,1,+,37450,37250,37450
YAL056W,GPB2,1,+,39216,39016,39216
YAL055W,PEX22,1,+,42192,41992,42192
YAL053W,FLC2,1,+,45745,45545,45745
YAL049C,AIM2,1,-,52662,52662,52862
YAL048C,GEM1,1,-,54826,54826,55026
YAL044C,GCV3,1,-,58477,58477,58677
YAL043C,PTA1,1,-,61077,61077,61277
YAL042W,ERV46,1,+,61275,61075,61275
YAL041W,CDC24,1,+,62777,62577,62777
YAL040C,CLN3,1,-,67845,67845,68045
YAL039C,CYC3,1,-,69582,69582,69782
YAL038W,CDC19,1,+,71760,71560,71760
YAL036C,RBG1,1,-,76190,76190,76390
YAL035W,FUN12,1,+,76402,76202,76402
YAL034W-A,MTW1,1,+,79690,79490,79690
YAL033W,POP5,1,+,82702,82502,82702
YAL032C,PRP45,1,-,84495,84495,84695
YAL031C,GIP4,1,-,87079,87079,87279
YAL029C,MYO4,1,-,92523,92523,92723
YAL028W,FRT2,1,+,92855,92655,92855
YAL027W,SAW1,1,+,94608,94408,94608
YAL026C,DRS2,1,-,99784,99784,99984
YAL025C,MAK16,1,-,101169,101169,101369
YAL024C,LTE1,1,-,105977,105977,106177
YAL023C,PMT2,1,-,108640,108640,108840
YAL022C,FUN26,1,-,110447,110447,110647
YAL021C,CCR4,1,-,113404,113404,113604
YAL020C,ATS1,1,-,114631,114631,114831
YAL019W,FUN30,1,+,114810,114610,114810
YAL017W,PSK1,1,+,119859,119659,119859
YAL016W,TPD3,1,+,124799,124599,124799
YAL014C,SYN8,1,-,129068,129068,129268
YAL013W,DEP1,1,+,129237,129037,129237
YAL012W,CYS3,1,+,130747,130547,130747
