chrom,start,stop,factor,0,strand
1,34819,34826,BAS1,0,+
1,45480,45488,CBF1,0,+
1,45320,45333,ABF1,0,-
1,45500,45513,ABF1,0,-
1,45143,45153,UME6,0,-
1,45240,45250,UME6,0,+
1,58540,58547,BAS1,0,+
1,58554,58561,BAS1,0,-
1,58570,58577,BAS1,0,-
1,61165,61178,ABF1,0,-
1,62659,62672,ABF1,0,-
1,68382,68388,PHD1,0,+
1,68198,68204,PHD1,0,-
1,68104,68110,PHD1,0,+
1,67787,67793,PHD1,0,-
1,67819,67825,PHD1,0,+
1,67797,67803,PHD1,0,+
1,67544,67550,PHD1,0,+
1,68410,68416,PHD1,0,+
1,68028,68034,PHD1,0,-
1,68573,68588,STP4,0,-
1,68410,68426,MCM1,0,+
1,67797,67813,MCM1,0,+
1,68462,68478,MCM1,0,-
1,71472,71480,GCR1,0,-
1,71193,71201,GCR1,0,-
1,71146,71154,GCR1,0,-
1,71523,71531,GCR1,0,-
1,70292,70299,GCR2,0,-
1,71147,71154,GCR2,0,-
1,71493,71500,GCR2,0,-
1,71524,71531,GCR2,0,-
1,71473,71480,GCR2,0,-
1,71143,71153,ROX1,0,+
1,71263,71270,TYE7,0,-
1,71771,71778,STE12,0,-
1,70969,70980,SNT2,0,-
1,73397,73406,CIN5,0,-
1,73394,73404,SPT2,0,+
1,73959,73968,CIN5,0,-
1,82111,82121,RAP1,0,+
1,87164,87172,REB1,0,+
1,92776,92783,STE12,0,-
1,92638,92650,FKH2,0,-
1,99875,99883,CBF1,0,-
1,106002,106014,FKH2,0,+
1,108790,108803,ABF1,0,-
1,108819,108828,SUM1,0,-
1,110823,110828,ADR1,0,-
1,119747,119755,CBF1,0,-
1,119766,119772,SWI5,0,-
1,120195,120203,ARR1,0,-
1,130583,130591,CBF1,0,-
1,130565,130574,YAP7,0,-
1,130602,130608,MET31,0,-
1,130610,130616,MET31,0,+
1,130599,130609,MET32,0,-
1,130609,130619,MET32,0,+
1,141779,141793,HSF1,0,+
1,141680,141694,HSF1,0,-
1,141639,141645,MSN2,0,+
1,141664,141670,MSN2,0,+
1,141588,141594,MSN2,0,+
1,141639,141645,MSN4,0,+
1,141664,141670,MSN4,0,+
1,141588,141594,MSN4,0,+
1,158750,158757,MBP1,0,-
1,158779,158786,MBP1,0,+
1,169084,169091,STE12,0,-
1,169084,169090,DIG1,0,-
1,168881,168888,TEC1,0,+
1,168966,168973,TEC1,0,+
1,169109,169116,TEC1,0,+
1,169170,169177,TEC1,0,+
1,171823,171843,YOX1,0,+
1,171718,171724,YHP1,0,+
1,171820,171836,MCM1,0,-
2,14058,14067,INO4,0,+
2,21384,21391,STP1,0,+
2,23871,23879,GCN4,0,+
2,36541,36546,HAP5,0,+
2,36579,36584,HAP5,0,-
2,36675,36680,HAP5,0,+
2,36539,36546,HAP4,0,+
2,36579,36586,HAP4,0,-
2,36526,36533,STE12,0,+
2,36573,36581,SKN7,0,-
2,36601,36609,SKN7,0,+
2,36547,36555,SKN7,0,+
2,36589,36595,MSN4,0,+
2,36734,36740,MSN4,0,+
2,28849,28855,MSN4,0,-
2,36619,36625,MSN4,0,+
2,45168,45178,FHL1,0,+
2,60861,60869,YAP6,0,-
2,60913,60923,SFP1,0,-
