chromosome,position,NCP_score,NCP_score/noise_ratio
1,72,1.06,0.599
1,371,4.26,1.331
1,633,2.1,2.4419999999999997
1,859,1.62,1.276
1,1032,7.62,4.563
1,1199,6.12,4.896
1,1340,13.22,23.607
1,1589,0.91,1.82
1,1736,1.98,3.96
1,1923,2.3,4.6
1,2058,2.62,5.1370000000000005
1,2242,3.27,2.575
1,2425,1.51,1.238
1,2683,1.61,2.147
1,2851,2.78,2.059
1,3014,2.49,2.6210000000000004
1,3199,2.18,2.449
1,3382,1.97,1.504
1,3529,1.21,1.131
1,3764,1.33,0.9570000000000001
1,3916,1.6,0.847
1,4077,2.15,1.295
1,4238,2.53,1.271
1,4357,1.38,0.5
1,4556,2.73,2.8739999999999997
1,4727,2.49,1.93
1,4853,1.32,0.943
1,5001,2.31,2.2430000000000003
1,5131,1.8,2.195
1,5298,3.52,2.108
1,5484,4.88,2.958
1,5661,2.12,0.986
1,5839,1.84,1.172
1,5961,1.72,1.3330000000000002
1,6123,3.43,5.7170000000000005
1,6290,1.55,2.279
1,6597,1.71,2.948
1,6778,3.6,4.8
1,6938,0.98,0.99
1,7138,1.42,2.84
1,7335,1.12,0.6709999999999999
1,7485,3.32,1.034
1,7619,5.26,1.2670000000000001
1,7784,3.58,1.252
1,7928,2.56,2.0980000000000003
1,8037,0.68,0.43
1,8196,2.7,0.978
1,8343,2.6,1.061
1,8465,5.52,2.7060000000000004
1,8650,4.38,2.6069999999999998
1,8789,3.04,1.788
1,8970,1.24,0.747
1,9140,1.4,0.809
1,9400,2.97,1.492
1,9600,3.77,1.371
1,9754,1.92,0.9059999999999999
1,9941,1.94,2.395
1,10071,0.59,0.546
1,10297,1.05,0.89
1,10463,1.98,1.922
1,10628,3.44,4.0
1,10792,2.53,2.024
1,10957,2.8,2.314
1,11073,0.87,1.16
1,11360,0.77,1.4
1,11519,3.74,2.055
1,11711,5.08,1.4809999999999999
1,11859,5.96,2.9360000000000004
1,12019,8.25,3.603
1,12171,8.38,2.766
1,12354,2.28,0.64
1,12508,2.67,0.64
1,12620,2.1,0.575
1,12853,1.14,0.6829999999999999
1,12993,1.98,1.4669999999999999
1,13118,0.92,0.526
1,13276,3.42,0.69
1,13385,2.73,0.44
1,13529,4.26,0.8859999999999999
1,13672,1.36,0.5379999999999999
1,13862,1.59,2.741
1,14021,4.68,5.087
1,14186,3.08,2.444
1,14307,0.69,0.41600000000000004
1,14414,1.43,0.9229999999999999
1,14534,1.96,1.581
1,14750,0.41,0.7070000000000001
1,14885,0.36,0.72
1,15100,0.69,1.38
1,15208,0.97,0.836
1,15389,2.78,2.5269999999999997
1,15531,2.24,1.4
1,15713,1.21,1.984
1,15901,1.86,3.72
1,16052,3.02,5.4910000000000005
1,16229,1.21,1.301
1,16387,1.21,2.373
1,16502,0.31,0.62
1,16646,2.05,1.314
1,16825,1.8,3.6
1,16960,1.07,2.14
1,17166,2.56,2.016
1,17316,2.41,1.545
