orf_name,TSS,PAS,manually_curated_TSS
YAL067C,9192,7059,FALSE
YAL063C,28213,23928,FALSE
YAL062W,31189,33012,FALSE
YAL061W,33360,34869,FALSE
YAL060W,35108,36388,FALSE
YAL059W,36560,37345,FALSE
YAL058W,37450,39012,FALSE
YAL056W,39216,41981,FALSE
YAL055W,42192,42791,FALSE
YAL053W,45745,48311,FALSE
YAL049C,52662,51720,FALSE
YAL048C,54826,52617,FALSE
YAL046C,57384,56912,FALSE
YAL044W-A,57518,57962,FALSE
YAL044C,58477,57869,FALSE
YAL043C,61077,58627,FALSE
YAL042W,61275,62655,FALSE
YAL041W,62777,65464,FALSE
YAL040C,67845,65602,FALSE
YAL039C,69582,68655,FALSE
YAL038W,71760,73453,FALSE
YAL036C,76190,74851,FALSE
YAL035W,76402,79556,FALSE
YAL034W-A,79690,80676,FALSE
YAL033W,82702,83300,FALSE
YAL032C,84495,83205,FALSE
YAL031C,87079,84596,FALSE
YAL030W,87265,87863,FALSE
YAL029C,92523,87696,FALSE
YAL028W,92855,94607,FALSE
YAL027W,94608,95579,FALSE
YAL026C,99784,95483,FALSE
YAL025C,101169,100023,FALSE
YAL024C,105977,101372,FALSE
YAL023C,108640,106144,FALSE
YAL022C,110447,108836,FALSE
YAL021C,113404,110617,FALSE
YAL020C,114631,113538,FALSE
YAL019W,114810,118387,FALSE
YAL017W,119859,124460,FALSE
YAL016W,124799,126876,FALSE
YAL014C,129068,128092,FALSE
YAL013W,129237,130586,FALSE
YAL012W,130747,132085,FALSE
YAL011W,132198,134180,FALSE
YAL010C,135708,134138,FALSE
YAL009W,135815,136782,FALSE
YAL008W,136868,137639,FALSE
YAL007C,138422,137524,FALSE
YAL005C,141495,139359,FALSE
YAL003W,142155,143370,FALSE
YAL002W,143553,147567,FALSE
YAL001C,151206,147541,FALSE
YAR002W,152217,153964,FALSE
YAR002C-A,154742,153991,FALSE
YAR003W,154953,,FALSE
YAR007C,158684,156683,FALSE
YAR008W,158870,159861,FALSE
YAR014C,169016,166558,FALSE
YAR015W,169267,170385,FALSE
YAR018C,171714,170258,FALSE
YAR027W,183682,184546,FALSE
YAR028W,184830,185788,FALSE
YAR031W,186991,187883,FALSE
YAR033W,188059,188898,FALSE
YAR042W,192589,196412,FALSE
YAR066W,220964,,FALSE
YAR071W,225411,226904,FALSE
YBL107C,10551,9818,FALSE
YBL106C,13946,10773,FALSE
YBL105C,17966,14104,FALSE
YBL104C,21298,18094,FALSE
YBL103C,23789,21714,FALSE
YBL102W,24010,24938,FALSE
YBL101C,28583,24810,FALSE
YBL099W,36763,,FALSE
YBL098W,39122,40641,FALSE
YBL097W,40778,43305,FALSE
YBL093C,44995,44036,FALSE
YBL092W,45579,46514,FALSE
YBL091C-A,47190,46556,FALSE
YBL091C,48656,47270,FALSE
YBL090W,48791,49474,FALSE
YBL089W,49507,51258,FALSE
YBL088C,59434,50932,FALSE
YBL087C,60758,59718,FALSE
YBL086C,62723,61152,FALSE
YBL085W,63658,66926,FALSE
YBL084C,69540,66920,FALSE
YBL082C,71406,69655,FALSE
YBL081W,71549,73027,FALSE
YBL080C,74775,72962,FALSE
YBL079W,75203,79849,FALSE
YBL078C,80811,,FALSE
YBL076C,84267,80945,FALSE
YBL074C,87801,,FALSE
YBL072C,89114,88401,FALSE
YBL071W-A,89933,90470,FALSE
YBL069W,90667,92109,FALSE
YBL068W,92363,93484,FALSE
YBL067C,96171,93524,FALSE
YBL066C,99055,96490,FALSE
YBL064C,101226,100301,FALSE
YBL063W,101888,105319,FALSE
YBL061C,107512,105215,FALSE
YBL060W,107872,110041,FALSE
YBL059C-A,110563,109967,FALSE
YBL059W,110676,111318,FALSE
YBL058W,111398,112827,FALSE
YBL057C,113450,112736,FALSE
YBL056W,113685,115538,FALSE
YBL055C,116818,115482,FALSE
YBL054W,117481,119314,FALSE
YBL052C,122065,119313,FALSE
YBL051C,124825,122606,FALSE
YBL050W,125061,126189,FALSE
YBL049W,126625,,FALSE
YBL047C,132214,127754,FALSE
YBL046W,132419,133934,FALSE
YBL045C,135643,133843,FALSE
YBL043W,136558,137647,FALSE
YBL042C,140319,138153,FALSE
YBL041W,141219,142031,FALSE
YBL040C,142903,142015,FALSE
YBL039W-B,143111,143703,FALSE
YBL039C,145785,143810,FALSE
YBL038W,146133,146950,FALSE
YBL037W,147132,150406,FALSE
YBL036C,151272,150304,FALSE
YBL035C,153691,151385,FALSE
YBL034C,158218,153701,FALSE
YBL033C,159712,158492,FALSE
YBL032W,160097,161535,FALSE
YBL031W,161668,162877,FALSE
YBL030C,164144,162744,FALSE
YBL029C-A,164892,164412,FALSE
YBL028C,167863,167436,FALSE
YBL027W,168374,169463,FALSE
YBL026W,170584,171167,FALSE
YBL025W,171416,,FALSE
YBL024W,172531,174711,FALSE
YBL023C,177614,174768,FALSE
YBL022C,181397,177801,FALSE
YBL021C,182144,181493,FALSE
YBL020W,182322,184217,FALSE
YBL019W,184304,186033,FALSE
YBL018C,186518,185965,FALSE
YBL017C,191767,186780,FALSE
YBL016W,192431,193650,FALSE
YBL015W,194048,195739,FALSE
YBL014C,201780,198950,FALSE
YBL013W,201993,,FALSE
YBL011W,203440,206022,FALSE
YBL010C,206946,205967,FALSE
YBL009W,207155,209341,FALSE
YBL006C,217136,216408,FALSE
YBL005W,217411,220688,FALSE
YBL004W,227532,235205,FALSE
YBL003C,235830,235224,FALSE
YBL002W,236472,237081,FALSE
YBL001C,237530,237080,FALSE
YBR001C,241433,238874,FALSE
YBR002C,242591,241601,FALSE
YBR003W,242782,244362,FALSE
YBR004C,245685,244275,FALSE
YBR005W,245873,246733,FALSE
YBR006W,246886,248646,FALSE
YBR007C,251107,248624,FALSE
YBR008C,254428,252543,FALSE
YBR009C,255721,255207,FALSE
YBR010W,256301,256900,FALSE
YBR011C,258012,256998,FALSE
YBR013C,266023,265338,FALSE
YBR014C,267396,266529,FALSE
YBR016W,270198,270836,FALSE
YBR017C,273755,270773,FALSE
YBR021W,281325,283434,FALSE
YBR022W,283676,284426,FALSE
YBR023C,288074,284300,FALSE
YBR024W,289353,290580,FALSE
YBR025C,291886,290477,FALSE
YBR026C,294040,292761,FALSE
YBR028C,296102,294249,FALSE
YBR029C,297822,296241,FALSE
YBR030W,298021,300119,FALSE
YBR031W,300150,301347,FALSE
YBR034C,305990,304740,FALSE
YBR035C,306982,306170,FALSE
YBR036C,310361,308887,FALSE
YBR037C,311492,310494,FALSE
YBR038W,311856,314970,FALSE
YBR039W,315488,316688,FALSE
YBR040W,316786,,FALSE
YBR041W,318213,320417,FALSE
YBR042C,321654,320346,FALSE
YBR043C,324094,321771,FALSE
YBR044C,326141,324268,FALSE
YBR046C,331540,330246,FALSE
YBR047W,331778,332459,FALSE
YBR048W,332811,334018,FALSE
YBR049C,336939,334139,FALSE
YBR050C,338374,,FALSE
YBR052C,339414,338661,FALSE
YBR053C,340761,339539,FALSE
YBR054W,342785,344358,FALSE
YBR055C,347323,344507,FALSE
YBR056W,347752,349426,FALSE
YBR057C,353381,352087,FALSE
YBR058C,356039,353514,FALSE
YBR058C-A,356623,356151,FALSE
YBR059C,360296,356760,FALSE
YBR060C,362630,360607,FALSE
YBR061C,365724,364632,FALSE
YBR062C,366629,365876,FALSE
YBR065C,369748,368274,FALSE
YBR066C,370749,369946,FALSE
YBR067C,372783,371981,FALSE
YBR068C,375726,373639,FALSE
YBR069C,378535,376426,FALSE
YBR070C,379984,379175,FALSE
YBR071W,380336,381318,FALSE
YBR072W,381753,382835,TRUE
YBR073W,383149,386045,FALSE
YBR074W,386276,389326,FALSE
YBR077C,392348,391571,FALSE
YBR078W,392942,394888,FALSE
YBR079C,398296,395288,FALSE
YBR080C,400910,398458,FALSE
YBR081C,405391,401099,FALSE
YBR082C,407228,406455,FALSE
YBR083W,409116,410698,FALSE
YBR084W,411034,414067,FALSE
YBR084C-A,415305,414063,FALSE
YBR085W,415913,417071,FALSE
YBR085C-A,419187,418542,FALSE
YBR086C,423338,420072,FALSE
YBR087W,423748,424883,FALSE
YBR088C,425800,424917,FALSE
YBR091C,427519,427055,FALSE
YBR092C,429109,427641,FALSE
YBR093C,430980,429486,FALSE
YBR094W,431964,434396,FALSE
YBR095C,435732,434308,FALSE
YBR096W,435933,436775,FALSE
YBR097W,436914,441388,FALSE
YBR098W,441511,443739,FALSE
YBR101C,444759,443737,FALSE
YBR102C,447348,444950,FALSE
YBR103W,447543,449358,FALSE
YBR104W,449573,450734,FALSE
YBR105C,451989,450715,FALSE
YBR106W,452619,453358,FALSE
YBR107C,454545,,FALSE
YBR108W,454801,457846,FALSE
YBR109C,458395,457718,FALSE
YBR110W,458651,460312,FALSE
YBR111C,461850,461101,FALSE
YBR111W-A,462132,462736,FALSE
YBR112C,465958,462636,FALSE
YBR114W,467124,469673,FALSE
YBR115C,474007,469605,FALSE
YBR117C,476668,474229,FALSE
YBR118W,477643,479131,FALSE
YBR119W,479292,480461,FALSE
YBR120C,481000,480369,FALSE
YBR121C,483438,481255,FALSE
YBR122C,484530,483768,FALSE
YBR123C,486753,484671,FALSE
YBR125C,488553,487055,FALSE
YBR126C,490493,488768,FALSE
YBR127C,492880,491097,FALSE
YBR128C,494141,492792,FALSE
YBR129C,495368,494213,FALSE
YBR130C,496923,495473,FALSE
YBR131W,497113,499346,FALSE
YBR132C,501547,499346,FALSE
YBR133C,504394,501657,FALSE
YBR135W,504748,505504,FALSE
YBR136W,505611,512964,FALSE
YBR137W,512946,513674,FALSE
YBR138C,515399,513607,FALSE
YBR139W,515653,517217,FALSE
YBR141C,528052,526858,FALSE
YBR142W,528264,530639,FALSE
YBR143C,532215,530729,FALSE
YBR145W,533715,534912,FALSE
YBR146W,535191,536312,FALSE
YBR148W,537683,539781,FALSE
YBR149W,539912,541112,FALSE
YBR150C,544518,541137,FALSE
YBR151W,544909,546102,FALSE
YBR152W,546316,,FALSE
YBR153W,547404,548235,FALSE
YBR154C,549094,548260,FALSE
YBR155W,549720,551012,FALSE
YBR156C,553231,550921,FALSE
YBR157C,554376,553412,FALSE
YBR158W,556280,558342,FALSE
YBR159W,558654,559809,FALSE
YBR160W,559941,561062,FALSE
YBR161W,561401,563023,FALSE
YBR162C,564803,562894,FALSE
YBR162W-A,565191,565521,FALSE
YBR163W,565634,567531,FALSE
YBR164C,568540,567768,FALSE
YBR165W,568755,569726,FALSE
YBR166C,571247,569748,FALSE
YBR167C,571921,571395,FALSE
YBR168W,572239,573775,FALSE
YBR170C,578154,576209,FALSE
YBR171W,578333,579060,FALSE
YBR172C,581478,579007,FALSE
YBR173C,582195,581577,FALSE
YBR175W,582390,583453,FALSE
YBR176W,583581,584798,FALSE
YBR177C,586188,584679,FALSE
YBR179C,589174,586486,FALSE
YBR181C,592822,591625,FALSE
YBR182C,595022,593195,FALSE
YBR183W,595901,597123,FALSE
YBR184W,597358,599072,FALSE
YBR185C,599973,598999,FALSE
YBR187W,602545,603609,FALSE
YBR188C,604177,603525,FALSE
YBR189W,604465,605573,FALSE
YBR191W,606215,607237,FALSE
YBR192W,607497,609050,FALSE
YBR193C,609808,608842,FALSE
YBR194W,609964,610560,FALSE
YBR195C,611870,610485,FALSE
YBR196C,613930,612067,FALSE
YBR197C,615874,,FALSE
YBR198C,618592,616031,FALSE
YBR199W,618811,620426,FALSE
YBR200W,620812,622744,FALSE
YBR201W,623435,624331,FALSE
YBR201C-A,624838,624241,FALSE
YBR202W,625737,628469,FALSE
YBR203W,628860,632167,FALSE
YBR204C,633438,631988,FALSE
YBR205W,633570,635009,FALSE
YBR207W,635089,636677,FALSE
YBR210W,645507,646212,FALSE
YBR211C,647240,646026,FALSE
YBR212W,647475,650105,FALSE
YBR213W,650211,651310,FALSE
YBR215W,653310,655420,FALSE
YBR216C,657628,655278,FALSE
YBR217W,657780,658715,FALSE
YBR218C,662306,658586,FALSE
YBR220C,664739,662851,FALSE
YBR221C,666451,664904,FALSE
YBR222C,668373,666601,FALSE
YBR223C,670318,668419,FALSE
YBR225W,670487,673580,FALSE
YBR227C,675187,673509,FALSE
YBR228W,675308,676316,FALSE
YBR229C,679223,676221,FALSE
YBR230C,680083,679456,FALSE
YBR230W-A,680293,680702,FALSE
YBR231C,683142,682135,FALSE
YBR233W,683295,684834,FALSE
YBR233W-A,684953,685463,FALSE
YBR234C,686633,685355,FALSE
YBR235W,686815,690355,FALSE
YBR236C,691726,690262,FALSE
YBR237W,691920,694606,FALSE
YBR238C,697297,695088,FALSE
YBR239C,700088,698260,FALSE
YBR241C,704277,702517,FALSE
YBR242W,704497,705448,FALSE
YBR243C,706820,705384,FALSE
YBR244W,707487,708131,FALSE
YBR245C,711380,708049,FALSE
YBR246W,711543,712889,FALSE
YBR247C,714471,712882,FALSE
YBR248C,716548,714731,FALSE
YBR249C,718079,716789,FALSE
YBR251W,721317,722389,FALSE
YBR252W,722588,723122,FALSE
YBR253W,723204,723722,FALSE
YBR254C,724266,723562,FALSE
YBR255W,724428,726602,FALSE
YBR255C-A,727093,726502,FALSE
YBR256C,728132,727317,FALSE
YBR257W,728849,729776,FALSE
YBR258C,730190,729661,FALSE
YBR259W,730333,732583,FALSE
YBR260C,734671,732532,FALSE
YBR261C,735550,734699,FALSE
YBR262C,736070,735601,FALSE
YBR263W,736219,737801,FALSE
YBR264C,738402,737728,FALSE
YBR265W,738541,739682,FALSE
YBR267W,739819,741137,FALSE
YBR268W,741280,741711,FALSE
YBR269C,742592,741999,FALSE
YBR270C,744695,742718,FALSE
YBR271W,744830,746272,FALSE
YBR272C,747825,746173,FALSE
YBR273C,749397,747949,FALSE
YBR274W,749553,751333,FALSE
YBR275C,757215,751211,FALSE
YBR276C,760134,757540,FALSE
YBR278W,760272,760987,FALSE
YBR279W,761225,762708,FALSE
YBR280C,764696,762604,FALSE
YBR281C,767651,764856,FALSE
YBR282W,768197,768797,FALSE
YBR283C,770564,768787,FALSE
YBR284W,771223,773796,FALSE
YBR285W,773735,,FALSE
YBR286W,774683,776375,FALSE
YBR287W,776534,777964,FALSE
YBR288C,779517,777942,FALSE
YBR289W,779634,782438,FALSE
YBR290W,782580,783657,FALSE
YBR291C,784604,783623,FALSE
YBR293W,787101,788640,FALSE
YBR295W,792826,796615,FALSE
YBR296C,798582,796514,FALSE
YBR296C-A,800187,,FALSE
YBR297W,800478,802160,FALSE
YBR299W,805135,,FALSE
YBR298C-A,805444,,FALSE
YBR302C,811480,810277,FALSE
YCL067C,12887,12297,FALSE
YCL064C,16890,15712,FALSE
YCL063W,17274,18693,FALSE
YCL061C,22154,18624,FALSE
YCL059C,23404,22318,FALSE
YCL058W-A,23562,23990,FALSE
YCL057C-A,24352,23904,FALSE
YCL057W,24782,27035,FALSE
YCL056C,27390,26897,FALSE
YCL055W,27923,29019,FALSE
YCL054W,31432,34078,FALSE
YCL052C,35426,33985,FALSE
YCL051W,35584,37662,FALSE
YCL050C,38863,37722,FALSE
YCL049C,40779,39603,FALSE
YCL047C,44457,43574,FALSE
YCL045C,46945,44562,FALSE
YCL044C,48405,46937,FALSE
YCL043C,50258,48590,FALSE
YCL042W,50405,,FALSE
YCL040W,50809,52518,FALSE
YCL039W,52625,54924,FALSE
YCL038C,56583,54863,FALSE
YCL037C,58745,57287,FALSE
YCL036W,58972,60822,FALSE
YCL035C,61237,60715,FALSE
YCL034W,61634,62794,FALSE
YCL033C,63247,62705,FALSE
YCL032W,63364,64676,FALSE
YCL031C,65619,64556,FALSE
YCL030C,68393,65849,FALSE
YCL029C,69981,68338,FALSE
YCL028W,70118,71439,FALSE
YCL027W,71775,73432,FALSE
YCL026C-B,74085,73343,FALSE
YCL026C-A,75387,74490,FALSE
YCL025C,77950,75925,FALSE
YCL024W,79090,82386,FALSE
YCL017C,94385,92619,FALSE
YCL016C,95795,94480,FALSE
YCL014W,96178,101310,FALSE
YCL012C,101822,101199,FALSE
YCL011C,103402,101990,FALSE
YCL010C,104370,,FALSE
YCL009C,105594,104471,FALSE
YCL008C,106857,105564,FALSE
YCL005W-A,106998,107519,FALSE
YCL005W,107975,108928,FALSE
YCL004W,109025,110747,FALSE
YCL002C,111701,110546,FALSE
YCL001W,111895,112526,FALSE
YCR002C,118391,117319,FALSE
YCR003W,118596,119274,FALSE
YCR004C,120506,119466,FALSE
YCR005C,122386,120812,FALSE
YCR008W,128005,130537,FALSE
YCR009C,131621,130644,FALSE
YCR011C,137022,133665,FALSE
YCR012W,137704,139152,FALSE
YCR015C,142192,141133,FALSE
YCR016W,143606,144660,FALSE
YCR017C,147661,144586,FALSE
YCR018C,148599,148086,FALSE
YCR019W,152709,154053,FALSE
YCR020C-A,155112,154678,FALSE
YCR020W-B,155308,,FALSE
YCR021C,157203,155928,FALSE
YCR023C,160459,158293,FALSE
YCR024C-A,163254,162627,FALSE
YCR026C,166409,163892,FALSE
YCR027C,168170,167202,FALSE
YCR028C,172538,170627,FALSE
YCR028C-A,173476,172754,FALSE
YCR030C,176493,173649,FALSE
YCR031C,178257,177395,FALSE
YCR032W,179387,186140,FALSE
YCR033W,186284,190322,FALSE
YCR034W,190562,191798,FALSE
YCR035C,193024,191685,FALSE
YCR036W,193276,194380,FALSE
YCR037C,197212,194319,FALSE
YCR039C,200046,199460,FALSE
YCR042C,205416,201051,FALSE
YCR043C,206664,206091,FALSE
YCR044C,207964,206775,FALSE
YCR046C,210425,209804,FALSE
YCR047C,211630,210513,FALSE
YCR048W,211881,213931,FALSE
YCR051W,214043,214867,FALSE
YCR052W,214955,216626,FALSE
YCR053W,216652,218317,FALSE
YCR054C,220141,218132,FALSE
YCR057C,223286,220340,FALSE
YCR059C,224243,223269,FALSE
YCR060W,224382,224863,FALSE
YCR061W,225501,227813,FALSE
YCR063W,228276,,FALSE
YCR065W,229252,231348,FALSE
YCR066W,231446,233122,FALSE
YCR067C,236425,233024,FALSE
YCR068W,237079,,FALSE
YCR069W,238904,240126,FALSE
YCR071C,240584,240020,FALSE
YCR072C,242374,240720,FALSE
YCR073C,246645,242513,FALSE
YCR073W-A,246923,248021,FALSE
YCR075C,248833,247886,FALSE
YCR075W-A,248978,249291,FALSE
YCR076C,250043,249185,FALSE
YCR077C,252658,250097,FALSE
YCR079W,252836,254296,FALSE
YCR082W,258850,259359,FALSE
YCR083W,259540,260074,FALSE
YCR084C,262674,259969,FALSE
YCR086W,263345,264014,FALSE
YCR087C-A,264500,263940,FALSE
YCR088W,265027,266976,FALSE
YCR089W,267135,272319,FALSE
YCR090C,272888,272245,FALSE
YCR092C,279853,276614,FALSE
YCR093W,280084,286545,FALSE
YCR094W,286696,288208,FALSE
YCR095C,289293,288111,FALSE
YCR095W-A,289498,,FALSE
YCR096C,293677,293092,FALSE
YCR097W,293820,294335,FALSE
YCR098C,298576,296792,FALSE
YCR101C,303031,,FALSE
YCR102C,305534,304093,FALSE
YCR104W,307511,,FALSE
YCR106W,310925,,FALSE
YDL248W,1792,,FALSE
YDL244W,15940,,FALSE
