name,orf_name,chr,start,stop,length,strand,orf_class
YAL069W,YAL069W,1,335,649,314,+,Dubious
YAL068W-A,YAL068W-A,1,538,792,254,+,Dubious
PAU8,YAL068C,1,1807,2169,362,-,Uncharacterized
YAL067W-A,YAL067W-A,1,2480,2707,227,+,Uncharacterized
SEO1,YAL067C,1,7236,9017,1781,-,Verified
YAL066W,YAL066W,1,10092,10400,308,+,Dubious
YAL065C,YAL065C,1,11566,11952,386,-,Uncharacterized
YAL064W-B,YAL064W-B,1,12047,12427,380,+,Uncharacterized
YAL064C-A,YAL064C-A,1,13364,13744,380,-,Uncharacterized
YAL064W,YAL064W,1,21526,21852,326,+,Verified
YAL063C-A,YAL063C-A,1,22397,22687,290,-,Uncharacterized
FLO9,YAL063C,1,24001,27969,3968,-,Verified
GDH3,YAL062W,1,31568,32941,1373,+,Verified
BDH2,YAL061W,1,33449,34702,1253,+,Uncharacterized
BDH1,YAL060W,1,35156,36304,1148,+,Verified
YAL059C-A,YAL059C-A,1,36497,36919,422,-,Dubious
ECM1,YAL059W,1,36510,37148,638,+,Verified
CNE1,YAL058W,1,37465,38973,1508,+,Verified
YAL056C-A,YAL056C-A,1,38697,39047,350,-,Dubious
GPB2,YAL056W,1,39260,41902,2642,+,Verified
PEX22,YAL055W,1,42178,42720,542,+,Verified
ACS1,YAL054C,1,42882,45023,2141,-,Verified
FLC2,YAL053W,1,45900,48251,2351,+,Verified
OAF1,YAL051W,1,48565,51708,3143,+,Verified
AIM2,YAL049C,1,51856,52596,740,-,Uncharacterized
GEM1,YAL048C,1,52802,54790,1988,-,Verified
YAL047W-A,YAL047W-A,1,54585,54914,329,+,Dubious
SPC72,YAL047C,1,54990,56858,1868,-,Verified
AIM1,YAL046C,1,57030,57386,356,-,Uncharacterized
YAL045C,YAL045C,1,57489,57797,308,-,Dubious
YAL044W-A,YAL044W-A,1,57519,57851,332,+,Uncharacterized
GCV3,YAL044C,1,57951,58463,512,-,Verified
PTA1,YAL043C,1,58696,61053,2357,-,Verified
YAL042C-A,YAL042C-A,1,61232,61609,377,-,Dubious
ERV46,YAL042W,1,61317,62564,1247,+,Verified
CDC24,YAL041W,1,62841,65405,2564,+,Verified
CLN3,YAL040C,1,65779,67521,1742,-,Verified
CYC3,YAL039C,1,68717,69526,809,-,Verified
CDC19,YAL038W,1,71787,73289,1502,+,Verified
YAL037C-B,YAL037C-B,1,72327,73301,974,-,Dubious
YAL037C-A,YAL037C-A,1,73427,73519,92,-,Uncharacterized
YAL037W,YAL037W,1,74021,74824,803,+,Uncharacterized
RBG1,YAL036C,1,75044,76153,1109,-,Verified
FUN12,YAL035W,1,76428,79436,3008,+,Verified
YAL034C-B,YAL034C-B,1,79490,79843,353,-,Dubious
MTW1,YAL034W-A,1,79719,80588,869,+,Verified
FUN19,YAL034C,1,80711,81952,1241,-,Verified
POP5,YAL033W,1,82707,83228,521,+,Verified
PRP45,YAL032C,1,83336,84475,1139,-,Verified
YAL031W-A,YAL031W-A,1,84670,84978,308,+,Dubious
GIP4,YAL031C,1,84750,87032,2282,-,Verified
SNC1,YAL030W,1,87287,87753,466,+,Verified
MYO4,YAL029C,1,87856,92271,4415,-,Verified
FRT2,YAL028W,1,92901,94487,1586,+,Verified
SAW1,YAL027W,1,94688,95473,785,+,Verified
YAL026C-A,YAL026C-A,1,95387,95824,437,-,Dubious
DRS2,YAL026C,1,95631,99698,4067,-,Verified
MAK16,YAL025C,1,100226,101146,920,-,Verified
LTE1,YAL024C,1,101566,105873,4307,-,Verified
PMT2,YAL023C,1,106273,108552,2279,-,Verified
FUN26,YAL022C,1,108878,110431,1553,-,Verified
CCR4,YAL021C,1,110847,113360,2513,-,Verified
ATS1,YAL020C,1,113615,114616,1001,-,Verified
YAL019W-A,YAL019W-A,1,114251,114820,569,+,Dubious
FUN30,YAL019W,1,114920,118315,3395,+,Verified
YAL018C,YAL018C,1,118565,119542,977,-,Uncharacterized
PSK1,YAL017W,1,120226,124296,4070,+,Verified
YAL016C-B,YAL016C-B,1,124308,124493,185,-,Dubious
YAL016C-A,YAL016C-A,1,124756,125070,314,-,Dubious
TPD3,YAL016W,1,124880,126787,1907,+,Verified
NTG1,YAL015C,1,126904,128103,1199,-,Verified
SYN8,YAL014C,1,128253,129020,767,-,Verified
DEP1,YAL013W,1,129271,130533,1262,+,Verified
CYS3,YAL012W,1,130802,131986,1184,+,Verified
SWC3,YAL011W,1,132202,134079,1877,+,Verified
MDM10,YAL010C,1,134186,135667,1481,-,Verified
SPO7,YAL009W,1,135856,136635,779,+,Verified
FUN14,YAL008W,1,136916,137512,596,+,Verified
ERP2,YAL007C,1,137700,138347,647,-,Verified
SSA1,YAL005C,1,139505,141433,1928,-,Verified
YAL004W,YAL004W,1,140762,141409,647,+,Dubious
EFB1,YAL003W,1,142176,143162,986,+,Verified
VPS8,YAL002W,1,143709,147533,3824,+,Verified
TFC3,YAL001C,1,147596,151168,3572,-,Verified
NUP60,YAR002W,1,152259,153878,1619,+,Verified
