name,orf_name,chr,start,end,length,strand,orf_class,ontology
YAL069W,YAL069W,1,335.0,649.0,314.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YAL068W-A,YAL068W-A,1,538.0,792.0,254.0,+,Dubious,"GO:0003674,GO:0005575,GO:0008150"
PAU8,YAL068C,1,1807.0,2169.0,362.0,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0045944,GO:0030437"
YAL067W-A,YAL067W-A,1,2480.0,2707.0,227.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
SEO1,YAL067C,1,7236.0,9017.0,1781.0,-,Verified,"GO:0006810,GO:0016020,GO:0005215"
YAL066W,YAL066W,1,10092.0,10400.0,308.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YAL065C,YAL065C,1,11566.0,11952.0,386.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YAL064W-B,YAL064W-B,1,12047.0,12427.0,380.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YAL064C-A,YAL064C-A,1,13364.0,13744.0,380.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YAL064W,YAL064W,1,21526.0,21852.0,326.0,+,Verified,"GO:0003674,GO:0008150,GO:0005575"
YAL063C-A,YAL063C-A,1,22397.0,22687.0,290.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
FLO9,YAL063C,1,24001.0,27969.0,3968.0,-,Verified,"GO:0005537,GO:0000501,GO:0009277"
GDH3,YAL062W,1,31568.0,32941.0,1373.0,+,Verified,"GO:0004352,GO:0006537,GO:0005625,GO:0005634,GO:0005739"
BDH2,YAL061W,1,33449.0,34702.0,1253.0,+,Uncharacterized,"GO:0008150,GO:0005634,GO:0005737,GO:0016616"
BDH1,YAL060W,1,35156.0,36304.0,1148.0,+,Verified,"GO:0005737,GO:0000721,GO:0006066"
YAL059C-A,YAL059C-A,1,36497.0,36919.0,422.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
ECM1,YAL059W,1,36510.0,37148.0,638.0,+,Verified,"GO:0007047,GO:0003674,GO:0005634,GO:0000055,GO:0005654,GO:0005730"
CNE1,YAL058W,1,37465.0,38973.0,1508.0,+,Verified,"GO:0030433,GO:0006457,GO:0051082,GO:0030176"
YAL056C-A,YAL056C-A,1,38697.0,39047.0,350.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
