orf_name,name,chr,start,stop,length,strand,orf_class,TSS,PAS,transcript_start,transcript_stop
YAL069W,YAL069W,1,335,649,314,+,Dubious,,,335,649
YAL068W-A,YAL068W-A,1,538,792,254,+,Dubious,,,538,792
YAL068C,PAU8,1,1807,2169,362,-,Uncharacterized,,1665.0,1665,1807
YAL067W-A,YAL067W-A,1,2480,2707,227,+,Uncharacterized,,,2480,2707
YAL067C,SEO1,1,7236,9017,1781,-,Verified,9192.0,7059.0,7059,9192
YAL066W,YAL066W,1,10092,10400,308,+,Dubious,,,10092,10400
YAL065C,YAL065C,1,11566,11952,386,-,Uncharacterized,,,11952,11566
YAL064W-B,YAL064W-B,1,12047,12427,380,+,Uncharacterized,,,12047,12427
YAL064C-A,YAL064C-A,1,13364,13744,380,-,Uncharacterized,,,13744,13364
YAL064W,YAL064W,1,21526,21852,326,+,Verified,,22162.0,21526,22162
YAL063C-A,YAL063C-A,1,22397,22687,290,-,Uncharacterized,,22199.0,22199,22397
YAL063C,FLO9,1,24001,27969,3968,-,Verified,28213.0,23928.0,23928,28213
YAL062W,GDH3,1,31568,32941,1373,+,Verified,31189.0,33012.0,31189,33012
YAL061W,BDH2,1,33449,34702,1253,+,Uncharacterized,33360.0,34869.0,33360,34869
YAL060W,BDH1,1,35156,36304,1148,+,Verified,35108.0,36388.0,35108,36388
YAL059C-A,YAL059C-A,1,36497,36919,422,-,Dubious,,,36919,36497
YAL059W,ECM1,1,36510,37148,638,+,Verified,36560.0,37345.0,36560,37345
YAL058W,CNE1,1,37465,38973,1508,+,Verified,37450.0,39012.0,37450,39012
YAL056C-A,YAL056C-A,1,38697,39047,350,-,Dubious,,,39047,38697
YAL056W,GPB2,1,39260,41902,2642,+,Verified,39216.0,41981.0,39216,41981
YAL055W,PEX22,1,42178,42720,542,+,Verified,42192.0,42791.0,42192,42791
YAL054C,ACS1,1,42882,45023,2141,-,Verified,,42719.0,42719,42882
YAL053W,FLC2,1,45900,48251,2351,+,Verified,45745.0,48311.0,45745,48311
YAL051W,OAF1,1,48565,51708,3143,+,Verified,,51857.0,48565,51857
YAL049C,AIM2,1,51856,52596,740,-,Uncharacterized,52662.0,51720.0,51720,52662
YAL048C,GEM1,1,52802,54790,1988,-,Verified,54826.0,52617.0,52617,54826
YAL047W-A,YAL047W-A,1,54585,54914,329,+,Dubious,,,54585,54914
YAL047C,SPC72,1,54990,56858,1868,-,Verified,,54938.0,54938,54990
YAL046C,AIM1,1,57030,57386,356,-,Uncharacterized,57384.0,56912.0,56912,57384
YAL045C,YAL045C,1,57489,57797,308,-,Dubious,,,57797,57489
YAL044W-A,YAL044W-A,1,57519,57851,332,+,Uncharacterized,57518.0,57962.0,57518,57962
YAL044C,GCV3,1,57951,58463,512,-,Verified,58477.0,57869.0,57869,58477
YAL043C,PTA1,1,58696,61053,2357,-,Verified,61077.0,58627.0,58627,61077
YAL042C-A,YAL042C-A,1,61232,61609,377,-,Dubious,,,61609,61232
YAL042W,ERV46,1,61317,62564,1247,+,Verified,61275.0,62655.0,61275,62655
YAL041W,CDC24,1,62841,65405,2564,+,Verified,62777.0,65464.0,62777,65464
YAL040C,CLN3,1,65779,67521,1742,-,Verified,67845.0,65602.0,65602,67845
YAL039C,CYC3,1,68717,69526,809,-,Verified,69582.0,68655.0,68655,69582
YAL038W,CDC19,1,71787,73289,1502,+,Verified,71760.0,73453.0,71760,73453
YAL037C-B,YAL037C-B,1,72327,73301,974,-,Dubious,,,73301,72327
YAL037C-A,YAL037C-A,1,73427,73519,92,-,Uncharacterized,,,73519,73427
YAL037W,YAL037W,1,74021,74824,803,+,Uncharacterized,,,74021,74824
YAL036C,RBG1,1,75044,76153,1109,-,Verified,76190.0,74851.0,74851,76190
YAL035W,FUN12,1,76428,79436,3008,+,Verified,76402.0,79556.0,76402,79556
YAL034C-B,YAL034C-B,1,79490,79843,353,-,Dubious,,,79843,79490
YAL034W-A,MTW1,1,79719,80588,869,+,Verified,79690.0,80676.0,79690,80676
YAL034C,FUN19,1,80711,81952,1241,-,Verified,,80564.0,80564,80711
YAL033W,POP5,1,82707,83228,521,+,Verified,82702.0,83300.0,82702,83300
YAL032C,PRP45,1,83336,84475,1139,-,Verified,84495.0,83205.0,83205,84495
YAL031W-A,YAL031W-A,1,84670,84978,308,+,Dubious,,,84670,84978
YAL031C,GIP4,1,84750,87032,2282,-,Verified,87079.0,84596.0,84596,87079
YAL030W,SNC1,1,87287,87753,466,+,Verified,87265.0,87863.0,87265,87863
YAL029C,MYO4,1,87856,92271,4415,-,Verified,92523.0,87696.0,87696,92523
YAL028W,FRT2,1,92901,94487,1586,+,Verified,92855.0,94607.0,92855,94607
YAL027W,SAW1,1,94688,95473,785,+,Verified,94608.0,95579.0,94608,95579
YAL026C-A,YAL026C-A,1,95387,95824,437,-,Dubious,,,95824,95387
YAL026C,DRS2,1,95631,99698,4067,-,Verified,99784.0,95483.0,95483,99784
YAL025C,MAK16,1,100226,101146,920,-,Verified,101169.0,100023.0,100023,101169
YAL024C,LTE1,1,101566,105873,4307,-,Verified,105977.0,101372.0,101372,105977
YAL023C,PMT2,1,106273,108552,2279,-,Verified,108640.0,106144.0,106144,108640
YAL022C,FUN26,1,108878,110431,1553,-,Verified,110447.0,108836.0,108836,110447
YAL021C,CCR4,1,110847,113360,2513,-,Verified,113404.0,110617.0,110617,113404
YAL020C,ATS1,1,113615,114616,1001,-,Verified,114631.0,113538.0,113538,114631
YAL019W-A,YAL019W-A,1,114251,114820,569,+,Dubious,,,114251,114820
YAL019W,FUN30,1,114920,118315,3395,+,Verified,114810.0,118387.0,114810,118387
YAL018C,YAL018C,1,118565,119542,977,-,Uncharacterized,,,119542,118565
YAL017W,PSK1,1,120226,124296,4070,+,Verified,119859.0,124460.0,119859,124460
YAL016C-B,YAL016C-B,1,124308,124493,185,-,Dubious,,,124493,124308
YAL016C-A,YAL016C-A,1,124756,125070,314,-,Dubious,,,125070,124756
YAL016W,TPD3,1,124880,126787,1907,+,Verified,124799.0,126876.0,124799,126876
YAL015C,NTG1,1,126904,128103,1199,-,Verified,,126897.0,126897,126904
YAL014C,SYN8,1,128253,129020,767,-,Verified,129068.0,128092.0,128092,129068
YAL013W,DEP1,1,129271,130533,1262,+,Verified,129237.0,130586.0,129237,130586
YAL012W,CYS3,1,130802,131986,1184,+,Verified,130747.0,132085.0,130747,132085
YAL011W,SWC3,1,132202,134079,1877,+,Verified,132198.0,134180.0,132198,134180
YAL010C,MDM10,1,134186,135667,1481,-,Verified,135708.0,134138.0,134138,135708
YAL009W,SPO7,1,135856,136635,779,+,Verified,135815.0,136782.0,135815,136782
YAL008W,FUN14,1,136916,137512,596,+,Verified,136868.0,137639.0,136868,137639
YAL007C,ERP2,1,137700,138347,647,-,Verified,138422.0,137524.0,137524,138422
YAL005C,SSA1,1,139505,141433,1928,-,Verified,141495.0,139359.0,139359,141495
YAL004W,YAL004W,1,140762,141409,647,+,Dubious,,,140762,141409
YAL003W,EFB1,1,142176,143162,986,+,Verified,142155.0,143370.0,142155,143370
YAL002W,VPS8,1,143709,147533,3824,+,Verified,143553.0,147567.0,143553,147567
YAL001C,TFC3,1,147596,151168,3572,-,Verified,151206.0,147541.0,147541,151206
YAR002W,NUP60,1,152259,153878,1619,+,Verified,152217.0,153964.0,152217,153964
YAR002C-A,ERP1,1,154067,154726,659,-,Verified,154742.0,153991.0,153991,154742
YAR003W,SWD1,1,155007,156287,1280,+,Verified,154953.0,,154953,156287
YAR007C,RFA1,1,156756,158621,1865,-,Verified,158684.0,156683.0,156683,158684
YAR008W,SEN34,1,158967,159794,827,+,Verified,158870.0,159861.0,158870,159861
YAR014C,BUD14,1,166743,168866,2123,-,Verified,169016.0,166558.0,166558,169016
YAR015W,ADE1,1,169370,170290,920,+,Verified,169267.0,170385.0,169267,170385
YAR018C,KIN3,1,170391,171698,1307,-,Verified,171714.0,170258.0,170258,171714
YAR019C,CDC15,1,172209,175133,2924,-,Verified,,172118.0,172118,172209
YAR019W-A,YAR019W-A,1,174996,175340,344,+,Dubious,,,174996,175340
YAR020C,PAU7,1,176854,177021,167,-,Verified,,176478.0,176478,176854
YAR023C,YAR023C,1,179279,179818,539,-,Uncharacterized,,179041.0,179041,179279
YAR027W,UIP3,1,183764,184471,707,+,Verified,183682.0,184546.0,183682,184546
YAR028W,YAR028W,1,184886,185590,704,+,Uncharacterized,184830.0,185788.0,184830,185788
YAR029W,YAR029W,1,186315,186539,224,+,Uncharacterized,,186748.0,186315,186748
YAR030C,YAR030C,1,186506,186847,341,-,Dubious,,,186847,186506
YAR031W,PRM9,1,186830,187726,896,+,Verified,186991.0,187883.0,186991,187883
YAR033W,MST28,1,188101,188805,704,+,Verified,188059.0,188898.0,188059,188898
YAR035W,YAT1,1,190187,192250,2063,+,Verified,,192403.0,190187,192403
YAR035C-A,YAR035C-A,1,192331,192411,80,-,Uncharacterized,,,192411,192331
YAR042W,SWH1,1,192613,196179,3566,+,Verified,192589.0,196412.0,192589,196412
YAR047C,YAR047C,1,201460,201780,320,-,Dubious,,,201780,201460
YAR050W,FLO1,1,203394,208007,4613,+,Verified,,208274.0,203394,208274
YAR053W,YAR053W,1,208358,208654,296,+,Dubious,,,208358,208654
YAR060C,YAR060C,1,217148,217483,335,-,Dubious,,,217483,217148
YAR064W,YAR064W,1,220189,220488,299,+,Uncharacterized,,,220189,220488
YAR066W,YAR066W,1,221040,221651,611,+,Uncharacterized,220964.0,,220964,221651
YAR068W,YAR068W,1,222397,222882,485,+,Uncharacterized,,,222397,222882
YAR069C,YAR069C,1,224002,224295,293,-,Dubious,,,224295,224002
YAR070C,YAR070C,1,224554,224853,299,-,Dubious,,,224853,224554
YAR071W,PHO11,1,225451,226854,1403,+,Verified,225411.0,226904.0,225411,226904
YAR073W,IMD1,1,227733,228944,1211,+,Dubious,,,227733,228944
YAR075W,YAR075W,1,228835,229308,473,+,Dubious,,,228835,229308
YBL113C,YBL113C,2,280,2658,2378,-,Uncharacterized,,,2658,280
YBL113W-A,YBL113W-A,2,646,1128,482,+,Dubious,,,646,1128
YBL112C,YBL112C,2,2582,2899,317,-,Uncharacterized,,,2899,2582
YBL111C,YBL111C,2,2907,5009,2102,-,Uncharacterized,,,5009,2907
YBL109W,YBL109W,2,5790,6125,335,+,Dubious,,,5790,6125
YBL108C-A,PAU9,2,7605,7733,128,-,Uncharacterized,,7527.0,7527,7605
YBL108W,YBL108W,2,8177,8482,305,+,Dubious,,,8177,8482
YBL107W-A,YBL107W-A,2,9268,9372,104,+,Dubious,,,9268,9372
YBL107C,YBL107C,2,9961,10551,590,-,Uncharacterized,10551.0,9818.0,9818,10551
YBL106C,SRO77,2,10847,13879,3032,-,Verified,13946.0,10773.0,10773,13946
YBL105C,PKC1,2,14241,17696,3455,-,Verified,17966.0,14104.0,14104,17966
YBL104C,YBL104C,2,18177,21293,3116,-,Uncharacterized,21298.0,18094.0,18094,21298
YBL103C,RTG3,2,22075,23535,1460,-,Verified,23789.0,21714.0,21714,23789
YBL102W,SFT2,2,24098,24745,647,+,Verified,24010.0,24938.0,24010,24938
YBL101C,ECM21,2,24946,28299,3353,-,Verified,28583.0,24810.0,24810,28583
YBL100W-C,YBL100W-C,2,28427,28546,119,+,Uncharacterized,,28705.0,28427,28705
YBL100C,YBL100C,2,36986,37300,314,-,Dubious,,,37300,36986
YBL099W,ATP1,2,37050,38687,1637,+,Verified,36763.0,,36763,38687
YBL098W,BNA4,2,39142,40524,1382,+,Verified,39122.0,40641.0,39122,40641
YBL097W,BRN1,2,40828,43092,2264,+,Verified,40778.0,43305.0,40778,43305
YBL096C,YBL096C,2,43171,43479,308,-,Dubious,,,43479,43171
YBL095W,YBL095W,2,43274,44086,812,+,Uncharacterized,,44204.0,43274,44204
YBL094C,YBL094C,2,43762,44094,332,-,Dubious,,,44094,43762
YBL093C,ROX3,2,44253,44915,662,-,Verified,44995.0,44036.0,44036,44995
YBL092W,RPL32,2,45642,46367,725,+,Verified,45579.0,46514.0,45579,46514
YBL091C-A,SCS22,2,46562,47177,615,-,Verified,47190.0,46556.0,46556,47190
YBL091C,MAP2,2,47360,48625,1265,-,Verified,48656.0,47270.0,47270,48656
YBL090W,MRP21,2,48822,49355,533,+,Verified,48791.0,49474.0,48791,49474
YBL089W,AVT5,2,49571,50950,1379,+,Verified,49507.0,51258.0,49507,51258
YBL088C,TEL1,2,51016,59379,8363,-,Verified,59434.0,50932.0,50932,59434
YBL087C,RPL23A,2,59818,60735,917,-,Verified,60758.0,59718.0,59718,60758
YBL086C,YBL086C,2,61199,62599,1400,-,Uncharacterized,62723.0,61152.0,61152,62723
YBL085W,BOI1,2,63873,66815,2942,+,Verified,63658.0,66926.0,63658,66926
YBL084C,CDC27,2,67166,69442,2276,-,Verified,69540.0,66920.0,66920,69540
YBL083C,YBL083C,2,69710,70135,425,-,Dubious,,,70135,69710
YBL082C,ALG3,2,69748,71124,1376,-,Verified,71406.0,69655.0,69655,71406
YBL081W,YBL081W,2,71863,72969,1106,+,Uncharacterized,71549.0,73027.0,71549,73027
YBL080C,PET112,2,73067,74692,1625,-,Verified,74775.0,72962.0,72962,74775
YBL079W,NUP170,2,75256,79764,4508,+,Verified,75203.0,79849.0,75203,79849
YBL078C,ATG8,2,80375,80728,353,-,Verified,80811.0,,80728,80811
YBL077W,YBL077W,2,80895,81326,431,+,Dubious,,,80895,81326
YBL076C,ILS1,2,81041,84259,3218,-,Verified,84267.0,80945.0,80945,84267
YBL075C,SSA3,2,84497,86446,1949,-,Verified,,84416.0,84416,84497
YBL074C,AAR2,2,86720,87787,1067,-,Verified,87801.0,,87787,87801
YBL073W,YBL073W,2,87644,87955,311,+,Dubious,,,87644,87955
YBL072C,RPS8A,2,88521,89438,917,-,Verified,89114.0,88401.0,88401,89114
